Time,Channel A,Channel B
(us),(V),(V)

-0.95270591,1.10989800,0.00000000
-0.95070591,1.10989800,0.00000000
-0.94870591,1.15418900,0.00000000
-0.94670591,1.15418900,-0.04398376
-0.94470591,1.15418900,0.00000000
-0.94270591,1.15418900,0.00000000
-0.94070591,1.10989800,-0.04398376
-0.93870591,1.10989800,0.00000000
-0.93670591,1.10989800,0.00000000
-0.93470591,1.10989800,0.00000000
-0.93270591,1.15418900,0.00000000
-0.93070591,1.10989800,0.00000000
-0.92870591,1.10989800,0.00000000
-0.92670591,1.10989800,-0.04398376
-0.92470591,1.15418900,0.00000000
-0.92270591,1.10989800,-0.04398376
-0.92070591,1.15418900,0.00000000
-0.91870591,1.10989800,-0.04398376
-0.91670591,1.10989800,0.00000000
-0.91470591,1.10989800,0.00000000
-0.91270591,1.10989800,-0.04398376
-0.91070591,1.15418900,0.00000000
-0.90870591,1.10989800,-0.04398376
-0.90670591,1.10989800,0.00000000
-0.90470591,1.15418900,0.00000000
-0.90270591,1.15418900,0.00000000
-0.90070591,1.10989800,-0.04398376
-0.89870591,1.10989800,0.00000000
-0.89670591,1.15418900,0.00000000
-0.89470591,1.10989800,0.00000000
-0.89270591,1.10989800,0.00000000
-0.89070591,1.15418900,0.00000000
-0.88870591,1.15418900,0.00000000
-0.88670591,1.10989800,0.00000000
-0.88470591,1.15418900,0.00000000
-0.88270591,1.15418900,0.00000000
-0.88070591,1.15418900,0.00000000
-0.87870591,1.15418900,0.00000000
-0.87670591,1.10989800,0.00000000
-0.87470591,1.15418900,0.00000000
-0.87270591,1.15418900,-0.04398376
-0.87070591,1.10989800,0.00000000
-0.86870591,1.10989800,0.00000000
-0.86670591,1.15418900,0.00000000
-0.86470591,1.10989800,0.00000000
-0.86270591,1.10989800,0.04398376
-0.86070591,1.10989800,-0.04398376
-0.85870591,1.15418900,0.00000000
-0.85670591,1.10989800,0.00000000
-0.85470591,1.10989800,0.00000000
-0.85270592,1.10989800,0.00000000
-0.85070592,1.10989800,-0.04398376
-0.84870592,1.10989800,0.00000000
-0.84670592,1.10989800,0.00000000
-0.84470592,1.15418900,0.00000000
-0.84270592,1.10989800,0.00000000
-0.84070592,1.10989800,0.00000000
-0.83870592,1.10989800,-0.04398376
-0.83670592,1.10989800,0.00000000
-0.83470592,1.10989800,0.00000000
-0.83270592,1.10989800,0.00000000
-0.83070592,1.10989800,0.00000000
-0.82870592,1.10989800,0.00000000
-0.82670592,1.10989800,0.00000000
-0.82470592,1.10989800,0.00000000
-0.82270592,1.10989800,-0.04398376
-0.82070592,1.10989800,0.00000000
-0.81870592,1.10989800,0.00000000
-0.81670592,1.15418900,0.00000000
-0.81470592,1.10989800,0.00000000
-0.81270592,1.10989800,0.00000000
-0.81070592,1.10989800,0.00000000
-0.80870592,1.10989800,0.00000000
-0.80670592,1.10989800,0.00000000
-0.80470592,1.10989800,0.00000000
-0.80270592,1.10989800,0.00000000
-0.80070592,1.15418900,0.00000000
-0.79870592,1.10989800,0.00000000
-0.79670592,1.15418900,0.00000000
-0.79470592,1.10989800,0.00000000
-0.79270592,1.10989800,-0.04398376
-0.79070592,1.10989800,0.00000000
-0.78870592,1.10989800,-0.04398376
-0.78670592,1.10989800,-0.04398376
-0.78470592,1.10989800,0.00000000
-0.78270592,1.10989800,0.00000000
-0.78070592,1.10989800,0.00000000
-0.77870592,1.10989800,0.00000000
-0.77670592,1.10989800,0.00000000
-0.77470592,1.10989800,0.00000000
-0.77270592,1.10989800,0.00000000
-0.77070592,1.10989800,0.00000000
-0.76870592,1.15418900,0.00000000
-0.76670592,1.10989800,0.00000000
-0.76470592,1.10989800,0.00000000
-0.76270592,1.10989800,0.00000000
-0.76070592,1.10989800,-0.04398376
-0.75870592,1.10989800,0.00000000
-0.75670592,1.10989800,0.00000000
-0.75470592,1.10989800,-0.04398376
-0.75270592,1.10989800,0.00000000
-0.75070592,1.10989800,0.00000000
-0.74870592,1.15418900,0.00000000
-0.74670592,1.10989800,0.00000000
-0.74470592,1.10989800,0.00000000
-0.74270592,1.10989800,0.00000000
-0.74070592,1.10989800,0.00000000
-0.73870592,1.10989800,0.00000000
-0.73670592,1.10989800,0.00000000
-0.73470592,1.10989800,0.00000000
-0.73270592,1.10989800,0.00000000
-0.73070592,1.10989800,0.00000000
-0.72870592,1.10989800,0.00000000
-0.72670592,1.10989800,0.00000000
-0.72470592,1.10989800,0.00000000
-0.72270592,1.10989800,0.00000000
-0.72070592,1.15418900,-0.04398376
-0.71870592,1.10989800,0.00000000
-0.71670592,1.10989800,0.00000000
-0.71470592,1.06545300,0.00000000
-0.71270592,1.10989800,0.00000000
-0.71070592,1.15418900,0.00000000
-0.70870592,1.10989800,0.00000000
-0.70670592,1.10989800,0.00000000
-0.70470592,1.15418900,0.00000000
-0.70270592,1.10989800,0.00000000
-0.70070592,1.10989800,0.00000000
-0.69870592,1.15418900,0.00000000
-0.69670592,1.10989800,0.00000000
-0.69470592,1.15418900,0.00000000
-0.69270592,1.10989800,0.00000000
-0.69070592,1.15418900,0.00000000
-0.68870592,1.15418900,0.00000000
-0.68670592,1.15418900,0.00000000
-0.68470592,1.10989800,0.00000000
-0.68270592,1.10989800,0.00000000
-0.68070592,1.15418900,0.00000000
-0.67870592,1.15418900,0.00000000
-0.67670592,1.10989800,0.00000000
-0.67470592,1.10989800,0.00000000
-0.67270592,1.15418900,0.00000000
-0.67070592,1.10989800,0.00000000
-0.66870592,1.10989800,0.00000000
-0.66670592,1.10989800,0.00000000
-0.66470592,1.10989800,0.00000000
-0.66270592,1.15418900,-0.04398376
-0.66070592,1.10989800,0.00000000
-0.65870592,1.10989800,-0.04398376
-0.65670592,1.10989800,0.00000000
-0.65470592,1.10989800,-0.04398376
-0.65270592,1.10989800,0.00000000
-0.65070592,1.10989800,0.00000000
-0.64870592,1.10989800,0.00000000
-0.64670592,1.10989800,0.00000000
-0.64470592,1.10989800,0.00000000
-0.64270592,1.15418900,0.00000000
-0.64070592,1.10989800,0.00000000
-0.63870592,1.15418900,0.00000000
-0.63670592,1.10989800,0.00000000
-0.63470592,1.10989800,0.00000000
-0.63270592,1.10989800,0.00000000
-0.63070592,1.10989800,-0.04398376
-0.62870592,1.15418900,0.00000000
-0.62670592,1.10989800,0.00000000
-0.62470592,1.10989800,0.00000000
-0.62270592,1.10989800,0.00000000
-0.62070592,1.15418900,-0.04398376
-0.61870592,1.10989800,0.00000000
-0.61670592,1.15418900,0.00000000
-0.61470592,1.15418900,-0.04398376
-0.61270592,1.10989800,0.00000000
-0.61070592,1.10989800,0.00000000
-0.60870592,1.15418900,0.00000000
-0.60670592,1.15418900,-0.04398376
-0.60470592,1.10989800,0.00000000
-0.60270592,1.15418900,-0.04398376
-0.60070592,1.10989800,0.00000000
-0.59870592,1.15418900,0.00000000
-0.59670592,1.10989800,0.00000000
-0.59470592,1.15418900,0.00000000
-0.59270592,1.15418900,0.00000000
-0.59070592,1.10989800,0.00000000
-0.58870592,1.10989800,0.00000000
-0.58670592,1.10989800,0.00000000
-0.58470592,1.10989800,0.00000000
-0.58270592,1.15418900,0.00000000
-0.58070592,1.10989800,0.00000000
-0.57870592,1.15418900,0.00000000
-0.57670592,1.15418900,0.00000000
-0.57470592,1.10989800,0.00000000
-0.57270592,1.15418900,0.00000000
-0.57070592,1.10989800,0.00000000
-0.56870592,1.10989800,0.00000000
-0.56670592,1.10989800,0.00000000
-0.56470592,1.10989800,0.00000000
-0.56270592,1.10989800,0.00000000
-0.56070592,1.15418900,0.00000000
-0.55870592,1.10989800,0.00000000
-0.55670592,1.15418900,0.00000000
-0.55470592,1.10989800,0.00000000
-0.55270592,1.10989800,0.00000000
-0.55070592,1.10989800,0.00000000
-0.54870592,1.10989800,0.00000000
-0.54670592,1.10989800,0.00000000
-0.54470592,1.10989800,0.00000000
-0.54270592,1.10989800,0.00000000
-0.54070592,1.10989800,0.00000000
-0.53870592,1.10989800,0.00000000
-0.53670592,1.10989800,0.00000000
-0.53470592,1.10989800,0.00000000
-0.53270592,1.10989800,0.00000000
-0.53070592,1.10989800,0.00000000
-0.52870592,1.15418900,0.00000000
-0.52670592,1.15418900,0.00000000
-0.52470592,1.15418900,0.00000000
-0.52270592,1.10989800,0.00000000
-0.52070592,1.10989800,0.00000000
-0.51870592,1.15418900,0.00000000
-0.51670592,1.15418900,0.00000000
-0.51470592,1.15418900,0.00000000
-0.51270592,1.10989800,0.00000000
-0.51070592,1.10989800,0.00000000
-0.50870592,1.10989800,0.00000000
-0.50670592,1.15418900,0.00000000
-0.50470592,1.10989800,0.00000000
-0.50270592,1.10989800,0.00000000
-0.50070592,1.10989800,0.00000000
-0.49870593,1.15418900,0.00000000
-0.49670593,1.15418900,0.00000000
-0.49470593,1.10989800,0.00000000
-0.49270593,1.10989800,0.00000000
-0.49070593,1.15418900,0.00000000
-0.48870593,1.10989800,0.00000000
-0.48670593,1.10989800,0.00000000
-0.48470593,1.10989800,0.00000000
-0.48270593,1.10989800,0.00000000
-0.48070593,1.10989800,0.00000000
-0.47870593,1.10989800,0.00000000
-0.47670593,1.10989800,0.00000000
-0.47470593,1.10989800,0.00000000
-0.47270593,1.10989800,0.00000000
-0.47070593,1.10989800,-0.04398376
-0.46870593,1.10989800,0.00000000
-0.46670593,1.10989800,0.00000000
-0.46470593,1.10989800,-0.04398376
-0.46270593,1.15418900,0.00000000
-0.46070593,1.10989800,0.00000000
-0.45870593,1.10989800,0.00000000
-0.45670593,1.10989800,0.00000000
-0.45470593,1.10989800,0.00000000
-0.45270593,1.10989800,0.00000000
-0.45070593,1.10989800,0.04398376
-0.44870593,1.10989800,0.00000000
-0.44670593,1.10989800,0.00000000
-0.44470593,1.15418900,0.00000000
-0.44270593,1.10989800,-0.04398376
-0.44070593,1.15418900,0.00000000
-0.43870593,1.10989800,0.00000000
-0.43670593,1.10989800,0.00000000
-0.43470593,1.15418900,0.00000000
-0.43270593,1.15418900,0.00000000
-0.43070593,1.15418900,0.00000000
-0.42870593,1.10989800,0.00000000
-0.42670593,1.15418900,0.00000000
-0.42470593,1.10989800,0.00000000
-0.42270593,1.10989800,0.00000000
-0.42070593,1.10989800,0.00000000
-0.41870593,1.10989800,-0.04398376
-0.41670593,1.10989800,0.00000000
-0.41470593,1.10989800,0.00000000
-0.41270593,1.15418900,0.00000000
-0.41070593,1.10989800,0.00000000
-0.40870593,1.10989800,-0.04398376
-0.40670593,1.10989800,0.00000000
-0.40470593,1.10989800,0.00000000
-0.40270593,1.10989800,0.00000000
-0.40070593,1.10989800,0.00000000
-0.39870593,1.10989800,0.00000000
-0.39670593,1.10989800,0.00000000
-0.39470593,1.10989800,0.00000000
-0.39270593,1.15418900,0.00000000
-0.39070593,1.10989800,0.00000000
-0.38870593,1.10989800,0.00000000
-0.38670593,1.10989800,0.00000000
-0.38470593,1.10989800,0.00000000
-0.38270593,1.15418900,0.00000000
-0.38070593,1.10989800,-0.04398376
-0.37870593,1.10989800,0.00000000
-0.37670593,1.10989800,0.00000000
-0.37470593,1.15418900,0.00000000
